, Metric: Tickets incoming, SubsetType: IMPACT, From 2018-01-01 to 2019-10-03,,
date, group_name,impact, case_id,sev,nTicketBySev
2018-01-04 00:35:42 UTC, group-a,3,135338635,Sev2,156
2018-01-05 16:35:43 UTC, group-a,3,136492446,Sev3,939
2018-01-06 02:12:15 UTC, group-a,3,136535970,Sev4,107
2018-01-06 13:05:46 UTC, group-a,3,136570509,Sev5,143
2018-01-07 12:20:49 UTC, group-a,3,136620073,,
2018-01-07 17:41:09 UTC, group-a,3,136634902,,
2018-01-08 21:43:54 UTC, group-a,3,136752850,,
2018-01-09 01:31:13 UTC, group-a,3,136768658,,
2018-01-09 03:11:19 UTC, group-a,3,136777335,,
2018-01-09 05:25:45 UTC, group-a,3,136785162,,
2018-01-09 06:35:28 UTC, group-a,2,136790595,,
2018-01-09 14:10:14 UTC, group-a,2,136838439,,
2018-01-09 17:35:19 UTC, group-a,3,136863720,,
2018-01-10 03:50:13 UTC, group-a,2,136911660,,
2018-01-10 13:15:21 UTC, group-a,3,136968207,,
2018-01-12 00:05:58 UTC, group-a,3,137162651,,
2018-01-12 19:51:43 UTC, group-a,5,137267019,,
2018-01-15 09:15:47 UTC, group-a,3,137423698,,
2018-01-15 18:39:42 UTC, group-a,3,137483614,,
2018-01-15 23:21:55 UTC, group-a,3,137503187,,
2018-01-16 18:23:53 UTC, group-a,3,137246428,,
2018-01-16 20:03:50 UTC, group-a,5,137618743,,
2018-01-18 03:40:12 UTC, group-a,3,137779940,,
2018-01-18 18:52:38 UTC, group-a,5,137866660,,
2018-01-19 00:07:14 UTC, group-a,5,137893615,,
2018-01-20 00:28:46 UTC, group-a,5,138014305,,
2018-01-21 23:36:16 UTC, group-a,3,138128917,,
2018-01-22 23:08:29 UTC, group-a,3,138241280,,
2018-01-23 22:03:05 UTC, group-a,4,138368624,,
2018-01-24 08:46:19 UTC, group-a,3,138420921,,
2018-01-24 22:11:40 UTC, group-a,3,136752850,,
2018-01-27 16:43:59 UTC, group-a,3,138744482,,
2018-01-30 00:30:33 UTC, group-a,4,135278744,,
2018-01-30 21:06:03 UTC, group-a,3,139095148,,
2018-02-01 17:29:59 UTC, group-a,5,139335544,,
2018-02-02 14:33:31 UTC, group-a,3,139438140,,
2018-02-02 14:33:51 UTC, group-a,2,139435654,,
2018-02-02 14:33:51 UTC, group-a,2,139435653,,
2018-02-03 10:05:17 UTC, group-a,2,139514029,,
2018-02-03 10:05:17 UTC, group-a,2,139510665,,
2018-02-03 10:06:03 UTC, group-a,3,139510667,,
2018-02-05 18:49:39 UTC, group-a,3,139435653,,
2018-02-05 20:46:46 UTC, group-a,3,139700332,,
2018-02-06 20:41:23 UTC, group-a,3,139828490,,
2018-02-07 06:10:38 UTC, group-a,3,139879120,,
2018-02-08 00:11:00 UTC, group-a,3,139976364,,
2018-02-10 02:44:29 UTC, group-a,3,140227507,,
2018-02-14 21:53:19 UTC, group-a,3,140666982,,
2018-02-16 00:57:29 UTC, group-a,3,140820864,,
2018-02-16 00:57:50 UTC, group-a,2,140818690,,
2018-02-16 00:57:50 UTC, group-a,2,140821343,,
2018-02-16 21:12:46 UTC, group-a,3,140910181,,
2018-02-19 19:42:16 UTC, group-a,3,141125590,,
2018-02-19 20:24:39 UTC, group-a,5,141129792,,
2018-02-20 02:48:58 UTC, group-a,5,141158380,,
2018-02-20 22:26:56 UTC, group-a,5,141261368,,
2018-02-21 19:15:01 UTC, group-a,5,141371962,,
2018-02-22 05:39:56 UTC, group-a,5,141423653,,
2018-02-22 20:17:28 UTC, group-a,3,141504169,,
2018-02-23 21:28:20 UTC, group-a,3,141610858,,
2018-02-23 21:30:11 UTC, group-a,5,141624255,,
2018-02-23 22:03:43 UTC, group-a,5,141625183,,
2018-02-23 22:20:24 UTC, group-a,3,141626874,,
2018-02-23 22:21:37 UTC, group-a,3,141624196,,
2018-02-23 22:28:25 UTC, group-a,3,141625680,,
2018-02-24 17:41:12 UTC, group-a,2,141686812,,
2018-02-24 17:45:29 UTC, group-a,3,141684575,,
2018-02-26 08:50:49 UTC, group-a,2,141793305,,
2018-02-26 08:50:49 UTC, group-a,2,141783667,,
2018-03-01 06:07:20 UTC, group-a,2,142160029,,
2018-03-01 06:07:20 UTC, group-a,2,142160308,,
2018-03-01 06:07:35 UTC, group-a,3,142157145,,
2018-03-01 21:19:54 UTC, group-a,5,142247008,,
2018-03-02 01:17:43 UTC, group-a,3,142267600,,
2018-03-02 16:25:35 UTC, group-a,3,142342776,,
2018-03-05 17:12:32 UTC, group-a,3,142582184,,
2018-03-08 18:26:32 UTC, group-a,3,142999391,,
2018-03-12 21:25:34 UTC, group-a,3,143377905,,
2018-03-12 21:25:48 UTC, group-a,2,143374470,,
2018-03-12 21:25:48 UTC, group-a,2,143377907,,
2018-03-12 23:29:45 UTC, group-a,3, E035365533,,
2018-03-14 07:51:50 UTC, group-a,5,143561331,,
2018-03-14 20:08:44 UTC, group-a,2,143633977,,
2018-03-14 20:08:44 UTC, group-a,2,143634767,,
2018-03-15 19:29:53 UTC, group-a,3,143772041,,
2018-03-16 20:08:14 UTC, group-a,3,143905954,,
2018-03-21 17:11:46 UTC, group-a,4,144394445,,
2018-03-21 18:43:48 UTC, group-a,3,144403435,,
2018-03-21 22:13:05 UTC, group-a,3, E035365533,,
2018-03-22 00:38:59 UTC, group-a,5,144433897,,
2018-03-22 23:07:30 UTC, group-a,3,144564733,,
2018-03-23 15:01:24 UTC, group-a,2,144629496,,
2018-03-23 15:01:26 UTC, group-a,2,144639606,,
2018-03-26 20:50:33 UTC, group-a,3,144564733,,
2018-03-26 23:07:15 UTC, group-a,5,144922002,,
2018-03-27 18:10:39 UTC, group-a,4,145021277,,
2018-03-27 21:13:26 UTC, group-a,5,145036880,,
2018-03-27 21:37:51 UTC, group-a,3,145039539,,
2018-03-29 21:23:21 UTC, group-a,5,145296845,,
2018-03-30 22:29:34 UTC, group-a,3,145406925,,
2018-03-31 00:40:38 UTC, group-a,2,145411960,,
2018-03-31 00:45:51 UTC, group-a,3,145412257,,
2018-04-01 17:31:14 UTC, group-a,2,145506144,,
2018-04-02 17:52:33 UTC, group-a,5,145597587,,
2018-04-02 17:57:54 UTC, group-a,5,145601922,,
2018-04-02 20:35:13 UTC, group-a,3,145613455,,
2018-04-02 22:34:47 UTC, group-a,5,145621189,,
2018-04-03 16:21:02 UTC, group-a,2,145708890,,
2018-04-03 16:21:02 UTC, group-a,2,145715158,,
2018-04-03 16:48:46 UTC, group-a,4,145723512,,
2018-04-03 22:57:52 UTC, group-a,3,145756003,,
2018-04-03 23:06:22 UTC, group-a,3,145756211,,
2018-04-06 18:52:56 UTC, group-a,3,146120091,,
2018-04-07 04:41:03 UTC, group-a,3,146157548,,
2018-04-09 17:03:36 UTC, group-a,3,146357624,,
2018-04-10 08:25:50 UTC, group-a,3,146437308,,
2018-04-10 21:25:38 UTC, group-a,3,146513142,,
2018-04-10 21:33:31 UTC, group-a,3,146511893,,
2018-04-10 21:35:25 UTC, group-a,3,146511981,,
2018-04-10 21:58:25 UTC, group-a,3,146513979,,
2018-04-11 05:21:09 UTC, group-a,5,146545588,,
2018-04-11 18:26:00 UTC, group-a,3,146623655,,
2018-04-11 19:52:43 UTC, group-a,3,146633451,,
2018-04-12 00:26:52 UTC, group-a,3,146657929,,
2018-04-12 00:40:27 UTC, group-a,3,146659912,,
2018-04-12 18:52:59 UTC, group-a,3,146764547,,
2018-04-13 17:56:11 UTC, group-a,3,146877592,,
2018-04-13 21:03:47 UTC, group-a,3,146885528,,
2018-04-13 21:03:48 UTC, group-a,3,146885528,,
2018-04-13 22:44:58 UTC, group-a,3,146908807,,
2018-04-14 01:40:49 UTC, group-a,3,146918314,,
2018-04-18 19:51:45 UTC, group-a,5,147369637,,
2018-04-19 17:15:28 UTC, group-a,3,147474456,,
2018-04-19 17:15:52 UTC, group-a,2,147470689,,
2018-04-19 20:41:57 UTC, group-a,5,147494509,,
2018-04-20 23:56:37 UTC, group-a,3,147624267,,
2018-04-23 19:23:08 UTC, group-a,5,147838883,,
2018-04-24 23:10:38 UTC, group-a,3,147996030,,
2018-04-24 23:10:50 UTC, group-a,3,147995442,,
2018-04-25 02:06:31 UTC, group-a,3,148011813,,
2018-04-25 17:44:21 UTC, group-a,2,148102992,,
2018-04-25 17:44:21 UTC, group-a,2,148102991,,
2018-04-25 17:44:26 UTC, group-a,3,148101973,,
2018-04-25 23:43:46 UTC, group-a,3,148133898,,
2018-04-26 17:18:13 UTC, group-a,3,148235527,,
2018-04-26 17:18:16 UTC, group-a,3,148234833,,
2018-04-26 19:37:31 UTC, group-a,3,148246684,,
2018-04-27 07:37:54 UTC, group-a,2,148305709,,
2018-04-30 18:27:43 UTC, group-a,2,148590488,,
2018-05-01 17:02:38 UTC, group-a,3,148687428,,
2018-05-01 18:16:39 UTC, group-a,3,148695233,,
2018-05-02 09:31:55 UTC, group-a,3,148769820,,
2018-05-03 12:31:43 UTC, group-a,2,148926802,,
2018-05-03 12:32:09 UTC, group-a,3,148926803,,
2018-05-03 16:07:32 UTC, group-a,5,148802706,,
2018-05-03 19:22:38 UTC, group-a,5,148966233,,
2018-05-04 20:20:58 UTC, group-a,3,149096318,,
2018-05-08 00:11:52 UTC, group-a,3,149357827,,
2018-05-08 23:03:41 UTC, group-a,3,149483315,,
2018-05-08 23:03:41 UTC, group-a,3,149481689,,
2018-05-08 23:03:41 UTC, group-a,3,149482380,,
2018-05-08 23:04:16 UTC, group-a,3,149483316,,
2018-05-08 23:04:22 UTC, group-a,2,149481974,,
2018-05-08 23:04:26 UTC, group-a,2,149483317,,
2018-05-08 23:04:27 UTC, group-a,3,149481692,,
2018-05-08 23:05:54 UTC, group-a,3,149481980,,
2018-05-08 23:05:54 UTC, group-a,2,149484415,,
2018-05-08 23:12:34 UTC, group-a,3,149481989,,
2018-05-08 23:15:01 UTC, group-a,2,149485301,,
2018-05-08 23:16:49 UTC, group-a,3,149484434,,
2018-05-08 23:20:04 UTC, group-a,3,149485800,,
2018-05-08 23:22:48 UTC, group-a,2,149483349,,
2018-05-09 01:20:50 UTC, group-a,2,149484586,,
2018-05-09 04:59:53 UTC, group-a,3,149506478,,
2018-05-09 05:57:52 UTC, group-a,2,149513339,,
2018-05-09 10:05:38 UTC, group-a,2,149542716,,
2018-05-09 11:54:35 UTC, group-a,3,149549986,,
2018-05-09 23:25:53 UTC, group-a,3,149614295,,
2018-05-10 20:36:44 UTC, group-a,3,149650314,,
2018-05-10 20:37:52 UTC, group-a,2,149737462,,
2018-05-10 22:47:45 UTC, group-a,5,149748272,,
2018-05-11 11:44:28 UTC, group-a,3,149815144,,
2018-05-11 11:44:59 UTC, group-a,2,149810397,,
2018-05-11 11:46:49 UTC, group-a,3,149820606,,
2018-05-11 11:46:50 UTC, group-a,3,149820607,,
2018-05-12 22:24:23 UTC, group-a,2,149953488,,
2018-05-12 22:24:39 UTC, group-a,3,149953489,,
2018-05-14 20:53:56 UTC, group-a,5,146005806,,
2018-05-17 17:22:52 UTC, group-a,3,150553342,,
2018-05-17 17:42:31 UTC, group-a,3,150554978,,
2018-05-17 20:02:49 UTC, group-a,2,150569273,,
2018-05-19 14:02:55 UTC, group-a,2,150761630,,
2018-05-20 10:47:37 UTC, group-a,3,150807123,,
2018-05-20 10:52:22 UTC, group-a,3,150805166,,
2018-05-20 11:48:37 UTC, group-a,3,150809717,,
2018-05-21 23:13:31 UTC, group-a,3,150686846,,
2018-05-22 00:11:52 UTC, group-a,3,150953533,,
2018-05-22 02:32:33 UTC, group-a,3,150962689,,
2018-05-22 16:15:33 UTC, group-a,5,151043054,,
2018-05-22 16:38:36 UTC, group-a,3,147883503,,
2018-05-22 17:46:47 UTC, group-a,2,151055616,,
2018-05-22 17:48:09 UTC, group-a,2,151054918,,
2018-05-22 21:15:32 UTC, group-a,3,146657929,,
2018-05-23 21:03:37 UTC, group-a,3,151201076,,
2018-05-24 07:41:26 UTC, group-a,5,151253869,,
2018-05-24 17:59:59 UTC, group-a,5,151323111,,
2018-05-24 18:01:00 UTC, group-a,5,151323314,,
2018-05-24 19:31:21 UTC, group-a,3,151329349,,
2018-05-24 23:52:00 UTC, group-a,3,151347643,,
2018-05-25 00:14:07 UTC, group-a,3,150962689,,
2018-05-25 00:17:43 UTC, group-a,3,151353029,,
2018-05-25 01:06:44 UTC, group-a,3,151354053,,
2018-05-25 03:02:38 UTC, group-a,3,151360277,,
2018-05-25 17:18:17 UTC, group-a,3,151441828,,
2018-05-29 15:38:23 UTC, group-a,3,151760179,,
2018-05-29 19:22:00 UTC, group-a,5,151791445,,
2018-05-30 17:18:17 UTC, group-a,3,151909890,,
2018-05-30 20:17:05 UTC, group-a,4, E037320051,,
2018-06-01 19:05:12 UTC, group-a,5,152191877,,
2018-06-01 19:07:05 UTC, group-a,5,152193067,,
2018-06-02 00:05:56 UTC, group-a,3,150705749,,
2018-06-02 20:53:53 UTC, group-a,3,152276930,,
2018-06-04 22:26:51 UTC, group-a,3,152452848,,
2018-06-05 23:47:41 UTC, group-a,3, E037320051,,
2018-06-06 05:30:02 UTC, group-a,3,152629317,,
2018-06-06 22:11:27 UTC, group-a,3,152728788,,
2018-06-07 05:43:37 UTC, group-a,3,152762374,,
2018-06-07 23:06:10 UTC, group-a,3,152870864,,
2018-06-08 17:33:42 UTC, group-a,3,152551379,,
2018-06-09 17:18:32 UTC, group-a,3,153045677,,
2018-06-11 15:58:24 UTC, group-a,5,152193067,,
2018-06-11 21:35:40 UTC, group-a,3,146657929,,
2018-06-11 23:17:54 UTC, group-a,3,153240238,,
2018-06-12 00:21:09 UTC, group-a,3,149650314,,
2018-06-12 05:31:39 UTC, group-a,3,153262680,,
2018-06-12 17:40:35 UTC, group-a,2,152551379,,
2018-06-13 21:45:49 UTC, group-a,3,153502200,,
2018-06-14 02:02:52 UTC, group-a,3,153518487,,
2018-06-14 18:37:00 UTC, group-a,3,153607805,,
2018-06-15 22:03:34 UTC, group-a,4,153583686,,
2018-06-18 18:50:18 UTC, group-a,5,153972790,,
2018-06-19 18:31:19 UTC, group-a,3,154108095,,
2018-06-19 20:05:42 UTC, group-a,5,154119422,,
2018-06-20 00:09:35 UTC, group-a,3,154137589,,
2018-06-20 21:01:30 UTC, group-a,4,154261845,,
2018-06-20 23:24:06 UTC, group-a,5,154273152,,
2018-06-22 20:04:32 UTC, group-a,3,154518539,,
2018-06-22 22:40:45 UTC, group-a,3,154527593,,
2018-06-24 06:52:32 UTC, group-a,3, E038065040,,
2018-06-25 17:58:51 UTC, group-a,3,153518487,,
2018-06-26 15:16:19 UTC, group-a,3,154858677,,
2018-06-26 20:46:15 UTC, group-a,3,154894768,,
2018-06-26 23:08:36 UTC, group-a,4,154906935,,
2018-06-27 06:13:17 UTC, group-a,3,154935391,,
2018-06-27 08:33:22 UTC, group-a,3,154952368,,
2018-06-27 10:00:36 UTC, group-a,3,154957591,,
2018-06-27 10:00:46 UTC, group-a,2,154959296,,
2018-06-27 11:09:54 UTC, group-a,3, E038053370,,
2018-06-27 18:08:17 UTC, group-a,3,155012969,,
2018-06-27 22:41:33 UTC, group-a,3,155039112,,
2018-06-28 03:06:26 UTC, group-a,3,155055741,,
2018-06-28 04:57:13 UTC, group-a,3,155065315,,
2018-06-28 21:37:50 UTC, group-a,3,155165922,,
2018-06-28 22:29:18 UTC, group-a,3,155169755,,
2018-06-29 11:31:34 UTC, group-a,3,155232188,,
2018-07-01 01:48:40 UTC, group-a,3,155369410,,
2018-07-01 02:49:09 UTC, group-a,3,155368675,,
2018-07-01 21:06:51 UTC, group-a,3,155413868,,
2018-07-02 18:06:32 UTC, group-a,3,155514544,,
2018-07-04 05:00:04 UTC, group-a,5,155695166,,
2018-07-05 12:22:36 UTC, group-a,3,155857438,,
2018-07-05 19:19:58 UTC, group-a,2,155889650,,
2018-07-06 18:18:10 UTC, group-a,3,156019751,,
2018-07-07 22:06:03 UTC, group-a,3,156107993,,
2018-07-09 11:04:13 UTC, group-a,3,155369410,,
2018-07-09 11:05:36 UTC, group-a,3,155368675,,
2018-07-09 12:04:54 UTC, group-a,3,156224248,,
2018-07-10 15:03:56 UTC, group-g,5,156378334,,
2018-07-10 22:37:30 UTC, group-a,3,156421637,,
2018-07-10 22:37:55 UTC, group-a,2,156422410,,
2018-07-10 23:45:41 UTC, group-a,2,156425647,,
2018-07-10 23:45:46 UTC, group-a,3,156425253,,
2018-07-12 16:58:50 UTC, group-a,5,156663602,,
2018-07-12 20:44:47 UTC, group-a,3,156681367,,
2018-07-12 22:56:30 UTC, group-a,5,156689090,,
2018-07-13 05:26:10 UTC, group-a,3,156720854,,
2018-07-13 16:34:36 UTC, group-a,3,156782492,,
2018-07-13 19:36:33 UTC, group-a,2,156806011,,
2018-07-13 21:36:46 UTC, group-a,3,156812363,,
2018-07-16 02:40:34 UTC, group-a,3,156961949,,
2018-07-16 17:27:05 UTC, group-a,3,155676335,,
2018-07-16 19:30:06 UTC, group-a,3,157067393,,
2018-07-16 19:30:46 UTC, group-a,2,157067797,,
2018-07-17 11:43:01 UTC, group-a,2,157154305,,
2018-07-17 18:39:20 UTC, group-a,3,157197812,,
2018-07-18 16:47:04 UTC, group-a,3,157321410,,
2018-07-18 21:49:34 UTC, group-a,3,157348367,,
2018-07-23 06:47:04 UTC, group-a,3,157768209,,
2018-07-23 17:16:45 UTC, group-a,2,157839523,,
2018-07-23 19:42:25 UTC, group-a,3,157853532,,
2018-07-23 19:47:55 UTC, group-a,3,157853953,,
2018-07-24 19:52:51 UTC, group-a,5,157990825,,
2018-07-25 00:15:48 UTC, group-a,3,158010966,,
2018-07-25 00:23:51 UTC, group-a,3,158007186,,
2018-07-25 05:02:31 UTC, group-a,3,158032319,,
2018-07-25 20:30:15 UTC, group-a,3,158125761,,
2018-07-25 21:27:02 UTC, group-a,2,158131901,,
2018-07-26 07:46:29 UTC, group-a,3,158179791,,
2018-07-26 07:47:04 UTC, group-a,2,158181423,,
2018-07-26 12:57:29 UTC, group-a,3,158213817,,
2018-07-26 17:30:09 UTC, group-a,3,158242965,,
2018-07-26 17:30:09 UTC, group-a,3,158242964,,
2018-07-26 17:30:10 UTC, group-a,3,158244931,,
2018-07-26 17:30:14 UTC, group-a,2,158242966,,
2018-07-26 17:30:15 UTC, group-a,2,158244933,,
2018-07-26 17:57:07 UTC, group-a,3,158248418,,
2018-07-26 18:38:08 UTC, group-a,3,158254064,,
2018-07-26 19:11:54 UTC, group-g,5,158257650,,
2018-07-26 22:08:30 UTC, group-a,3,158272668,,
2018-07-26 22:21:13 UTC, group-a,3,158275706,,
2018-07-26 23:15:29 UTC, group-a,3,158276564,,
2018-07-27 02:39:22 UTC, group-a,2,158291762,,
2018-07-27 02:39:22 UTC, group-a,2,158291883,,
2018-07-27 02:39:32 UTC, group-a,3,158291192,,
2018-07-27 02:39:43 UTC, group-a,3,158292534,,
2018-07-27 02:43:01 UTC, group-a,2,158291772,,
2018-07-27 06:02:01 UTC, group-a,3,158306650,,
2018-07-27 09:36:30 UTC, group-a,3,158331517,,
2018-07-27 09:37:06 UTC, group-a,2,158326158,,
2018-07-29 05:57:18 UTC, group-a,3,158492111,,
2018-07-29 18:51:31 UTC, group-a,3,158521470,,
2018-07-30 13:48:05 UTC, group-a,3,158604422,,
2018-07-30 13:49:19 UTC, group-a,2,158602362,,
2018-07-30 13:49:19 UTC, group-a,2,158603450,,
2018-07-30 13:49:24 UTC, group-a,3,158604614,,
2018-07-30 13:51:10 UTC, group-a,2,158604648,,
2018-07-30 18:33:13 UTC, group-a,3,158632380,,
2018-07-31 04:01:22 UTC, group-a,3,158676376,,
2018-08-01 22:24:30 UTC, group-a,3,158928786,,
2018-08-03 17:37:32 UTC, group-a,3,159186476,,
2018-08-03 18:31:54 UTC, group-a,3,157321410,,
2018-08-04 03:59:35 UTC, group-a,3,159230349,,
2018-08-06 11:53:02 UTC, group-z,3,158516416,,
2018-08-06 23:53:46 UTC, group-a,3,159470308,,
2018-08-07 04:07:12 UTC, group-a,3,159487159,,
2018-08-07 14:43:26 UTC, group-g,3,159556075,,
2018-08-09 13:29:11 UTC, group-a,3,159815258,,
2018-08-09 17:17:32 UTC, group-a,3,159842316,,
2018-08-11 11:47:49 UTC, group-a,3,160044962,,
2018-08-11 15:17:37 UTC, group-a,3,160059629,,
2018-08-11 15:17:47 UTC, group-a,2,160059051,,
2018-08-12 01:21:26 UTC, group-a,3,160087600,,
2018-08-13 06:06:25 UTC, group-a,3,160163639,,
2018-08-13 19:29:21 UTC, group-a,4,160242971,,
2018-08-14 00:27:03 UTC, group-a,3,160268776,,
2018-08-14 05:41:13 UTC, group-a,3,160294414,,
2018-08-14 07:03:25 UTC, group-a,3,160300931,,
2018-08-14 18:12:07 UTC, group-a,3,160372548,,
2018-08-15 00:32:11 UTC, group-a,5,160404235,,
2018-08-15 18:51:58 UTC, group-a,3,160490037,,
2018-08-15 19:57:46 UTC, group-a,3,160496515,,
2018-08-15 21:35:58 UTC, group-a,5,160499399,,
2018-08-16 20:36:38 UTC, group-a,3,160628421,,
2018-08-17 10:45:39 UTC, group-a,4, E039435448,,
2018-08-17 14:53:58 UTC, group-a,4, E039446102,,
2018-08-17 19:29:24 UTC, group-a,3,160748238,,
2018-08-17 19:29:35 UTC, group-a,3,160746095,,
2018-08-17 19:30:00 UTC, group-a,2,160746097,,
2018-08-17 19:30:00 UTC, group-a,2,160748640,,
2018-08-17 21:22:08 UTC, group-a,3,160760407,,
2018-08-19 22:03:27 UTC, group-a,3,160888983,,
2018-08-20 15:30:48 UTC, group-a,3,160976405,,
2018-08-20 18:02:36 UTC, group-a,3,160988098,,
2018-08-20 18:02:47 UTC, group-a,2,160991824,,
2018-08-20 18:02:47 UTC, group-a,2,160987099,,
2018-08-21 19:17:25 UTC, group-a,4, E039527549,,
2018-08-21 20:29:31 UTC, group-a,2, E039544512,,
2018-08-22 01:22:02 UTC, group-a,3,159815258,,
2018-08-22 17:54:26 UTC, group-g,5,161257534,,
2018-08-22 19:25:06 UTC, group-a,3,161263780,,
2018-08-23 07:42:01 UTC, group-a,3,161324869,,
2018-08-23 16:04:21 UTC, group-a,4, E039575099,,
2018-08-24 14:48:22 UTC, group-g,4,161499250,,
2018-08-26 20:50:32 UTC, group-a,2,161666521,,
2018-08-27 00:43:36 UTC, group-a,3,161673893,,
2018-08-27 16:08:32 UTC, group-a,3,161751977,,
2018-08-27 18:20:53 UTC, group-a,2,161766734,,
2018-08-28 16:03:00 UTC, group-a,3,161894952,,
2018-08-28 19:28:47 UTC, group-a,3,161921302,,
2018-08-29 16:04:36 UTC, group-a,5,161887545,,
2018-08-29 17:18:24 UTC, group-a,3,162041054,,
2018-08-30 15:39:32 UTC, group-g,3, E039784913,,
2018-08-30 22:25:04 UTC, group-a,3,162203571,,
2018-08-30 22:26:04 UTC, group-a,2,162204723,,
2018-09-01 08:56:06 UTC, group-a,3,162360596,,
2018-09-03 23:37:37 UTC, group-a,3,162561559,,
2018-09-05 14:41:20 UTC, group-a,2,162782798,,
2018-09-05 14:41:25 UTC, group-a,3,162786662,,
2018-09-05 14:41:32 UTC, group-a,3,162788405,,
2018-09-06 22:16:08 UTC, group-a,3,162976203,,
2018-09-07 00:44:59 UTC, group-a,3,162986302,,
2018-09-07 18:31:42 UTC, group-a,5,163079861,,
2018-09-08 12:22:33 UTC, group-a,3,163144947,,
2018-09-09 04:13:34 UTC, group-a,3,163179395,,
2018-09-09 09:42:05 UTC, group-a,3,163198419,,
2018-09-10 05:47:14 UTC, group-a,5,163251218,,
2018-09-11 16:50:15 UTC, group-a,3,163456937,,
2018-09-11 17:18:05 UTC, group-a,3,163458547,,
2018-09-11 18:25:37 UTC, group-a,3,163463874,,
2018-09-11 18:25:43 UTC, group-a,2,163467122,,
2018-09-11 18:30:36 UTC, group-a,2,163467129,,
2018-09-11 18:30:57 UTC, group-a,3,163465549,,
2018-09-11 21:23:56 UTC, group-a,2,163483240,,
2018-09-11 21:23:57 UTC, group-a,3,163481183,,
2018-09-12 22:18:27 UTC, group-a,3,163627083,,
2018-09-12 22:18:33 UTC, group-a,3,163626492,,
2018-09-12 22:20:41 UTC, group-a,2,163626497,,
2018-09-13 15:45:21 UTC, group-a,3,163720555,,
2018-09-14 17:54:02 UTC, group-a,2,163857310,,
2018-09-14 17:54:24 UTC, group-a,3,163857311,,
